id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
688,17,male,b.sc,5.45,76.7,yes,6.8,average,online videos,low,moderate,67
689,24,male,bba,7.73,54,yes,4.4,poor,self-study,high,easy,66.3
690,18,female,b.sc,4.62,40.8,yes,5.6,good,mixed,low,hard,55
691,22,other,bba,3.93,96.4,yes,8.6,average,online videos,high,moderate,74.9
692,21,other,diploma,2.91,89.9,yes,7.4,average,coaching,low,moderate,57.6
693,23,male,b.sc,3.02,96,yes,9.7,average,self-study,low,easy,68.6
694,18,female,b.sc,6.35,82,no,6,average,coaching,high,moderate,85.5
695,24,male,b.sc,7.47,64.6,yes,4.3,good,self-study,low,moderate,59.9
696,21,male,bba,4.87,84.5,yes,8,average,group study,low,moderate,58.9
697,24,other,bba,4.87,52.4,yes,9.3,poor,self-study,high,hard,38.9
698,17,female,b.sc,5.06,78.4,yes,5.3,good,group study,low,easy,75.5
699,19,other,b.tech,2.06,78.5,yes,6.5,average,self-study,low,easy,46.4
700,23,female,b.sc,4.96,49.6,no,8.2,good,coaching,low,easy,79.4
701,23,female,b.tech,5.15,61,yes,4.9,average,self-study,medium,easy,77
702,22,female,b.tech,5.71,99.1,yes,8.6,good,coaching,low,easy,86.3
703,18,male,b.com,6.78,65.2,yes,9.5,good,online videos,high,hard,100
704,19,male,b.sc,3.37,49.4,yes,8.1,poor,mixed,high,easy,55.6
705,18,male,b.com,3.64,74.5,yes,7.6,average,group study,high,easy,59.1
706,24,female,b.tech,6.32,97.3,no,7.7,average,self-study,medium,moderate,82.2
707,18,male,b.sc,7.47,96.9,yes,7,average,online videos,low,moderate,76.3
708,18,female,b.sc,4.69,94.9,yes,8.7,poor,online videos,high,easy,47.4
709,19,male,b.tech,0.94,61.8,yes,5.6,good,self-study,low,moderate,21.4
710,18,male,bca,4.46,99.4,yes,7.1,poor,mixed,low,moderate,67.7
711,20,male,bca,0.69,50.1,yes,9.1,average,coaching,medium,easy,47
712,21,male,b.tech,0.17,83.2,yes,7.8,poor,coaching,high,easy,44.5
713,22,other,bba,6.34,90.3,yes,9.1,poor,mixed,medium,hard,93
714,20,other,b.sc,3.31,91.9,yes,9.1,average,group study,high,hard,84.3
715,18,other,ba,1.26,81.9,yes,5.1,average,self-study,low,moderate,45
716,22,other,b.com,4.88,82.4,no,8.7,poor,self-study,low,moderate,56.7
717,23,male,b.com,7.63,96.4,yes,5.8,poor,self-study,low,moderate,80.8
718,21,female,ba,6.41,65.3,yes,7.8,good,group study,low,easy,59.5
719,19,other,bba,1.52,46.4,yes,4.4,good,coaching,high,moderate,56.2
720,22,male,bba,4.98,59.8,yes,5.4,poor,mixed,high,moderate,63.6
721,23,other,bba,2.22,63.1,yes,5.9,poor,mixed,high,moderate,29.6
722,24,other,b.sc,0.3,79.6,yes,9.8,poor,group study,high,hard,52.4
723,17,other,bba,7.24,45,no,6.4,good,group study,low,moderate,58.3
724,22,other,diploma,0.08,75.4,yes,4.3,poor,self-study,low,hard,29.6
725,23,male,bba,7,72.7,no,8.1,good,self-study,medium,hard,76.8
726,21,male,b.tech,1.69,76.7,yes,6.4,good,coaching,medium,moderate,61.1
727,19,male,b.com,7.86,78.9,yes,6.4,good,self-study,low,moderate,94.5
728,18,female,b.sc,4.24,67.7,yes,5.5,good,mixed,high,easy,65.3
729,20,male,diploma,0.12,53.5,yes,7.2,poor,mixed,high,moderate,45.2
730,23,male,diploma,0.31,98.9,yes,5.3,good,group study,low,moderate,55.5
731,19,male,b.tech,7.8,70,yes,9,poor,coaching,high,easy,95.3
732,23,female,b.sc,1.7,83.7,yes,5.4,average,mixed,high,easy,63.5
733,24,male,b.sc,2.93,69.4,yes,5.8,good,online videos,low,hard,48.3
734,21,female,bba,2.2,66.6,yes,9.6,poor,online videos,low,moderate,57.6
735,20,female,diploma,2.81,57.2,yes,4.5,average,group study,high,hard,49.4
736,23,other,b.sc,2.27,41,yes,6,average,coaching,low,easy,57.4
737,21,male,bca,1.69,42,yes,5.2,average,online videos,medium,easy,38.6
738,24,other,diploma,3.38,93.1,no,7.9,good,mixed,medium,moderate,68.3
739,20,other,bca,2.02,40.8,yes,8.9,poor,mixed,medium,moderate,38.3
740,19,male,b.com,0.41,84,no,4.2,average,mixed,high,easy,33.5
741,18,male,b.com,2.74,86.3,yes,4.8,poor,mixed,medium,moderate,49.3
742,21,female,b.tech,5.68,90.7,yes,4.6,good,group study,high,easy,100
743,23,other,bba,4.44,89,yes,8,poor,online videos,medium,hard,69.6
744,20,female,b.com,5.84,46.8,yes,8.5,good,mixed,medium,moderate,65.7
745,18,other,b.tech,3.33,48.8,yes,6.8,poor,online videos,low,moderate,43.3
746,22,female,bba,7.91,84.8,yes,8.4,average,group study,high,moderate,100
747,21,male,b.tech,6.24,54.4,yes,6.6,good,online videos,low,moderate,68.8
748,23,other,ba,6.39,89.5,yes,9,poor,self-study,high,hard,89.3
749,23,female,b.tech,0.14,93.2,yes,5.3,average,online videos,low,moderate,28.7
750,24,female,b.sc,7.4,48.3,yes,8.6,average,online videos,medium,moderate,69.1
751,17,male,b.tech,6.38,57.5,no,8.8,average,group study,high,easy,66.9
752,24,other,b.tech,1.29,99.4,yes,5.1,poor,coaching,low,moderate,41.1
753,20,other,ba,7.73,57,yes,5.8,average,online videos,low,moderate,59.5
754,19,female,b.tech,3,74.5,yes,7.9,poor,coaching,low,easy,52.7
755,21,male,bca,1.02,51.3,yes,6.5,good,online videos,high,easy,53.8
756,21,other,b.sc,6.62,89.4,yes,9.2,poor,online videos,high,hard,81.2
757,17,female,bba,0.32,63.9,yes,4.4,average,mixed,medium,moderate,51.6
758,19,female,b.com,3.62,93.7,yes,9.2,good,mixed,high,moderate,82.6
759,24,male,diploma,4.83,48,yes,5.1,poor,group study,medium,moderate,47.4
760,22,other,bba,4.09,73.6,yes,9.2,poor,coaching,low,moderate,57.3
761,19,female,b.tech,1.04,61.6,yes,6.7,poor,mixed,low,easy,37.8
762,17,other,b.com,6.13,45.6,yes,9.4,poor,group study,low,moderate,61.6
763,24,other,bca,6.62,78.1,yes,7.2,good,group study,low,moderate,81.7
764,21,other,ba,5.87,74.3,yes,6.2,good,group study,high,moderate,68
765,22,other,b.com,2.9,70.4,yes,9.9,poor,coaching,low,moderate,53.4
766,20,female,bca,0.42,54.8,yes,6.5,average,mixed,medium,moderate,38.7
767,24,male,b.com,5.12,98.3,yes,5.1,good,coaching,low,moderate,78.9
768,21,male,bca,5.69,70.6,yes,9.7,poor,mixed,medium,hard,75.9
769,19,other,bca,6.18,96.1,yes,4.8,average,mixed,low,moderate,80.5
770,19,female,b.tech,3.94,74.3,yes,6.7,poor,online videos,high,moderate,62.8
771,24,female,bca,0.08,63.8,yes,8.4,poor,group study,medium,moderate,33
772,24,other,bca,1.73,67.2,no,7.2,poor,self-study,medium,hard,27.2
773,17,other,b.com,2.98,89.4,yes,5.3,poor,coaching,low,easy,59.9
774,24,other,b.com,0.95,79,yes,6.1,average,online videos,low,moderate,41.1
775,17,other,b.sc,2.83,80.7,yes,8.5,average,online videos,low,easy,48.9
776,17,female,b.com,5.61,99,yes,9.4,good,self-study,medium,easy,73.6
777,19,other,b.com,5.13,60.7,yes,8.5,average,coaching,high,easy,67.2
778,18,other,bba,3.64,55.7,yes,8.5,average,self-study,high,moderate,59.1
779,19,other,ba,0.64,83.3,yes,4.5,poor,self-study,medium,moderate,21.4
780,19,female,b.sc,2.71,70.3,yes,9.4,poor,group study,low,moderate,50.7
781,23,male,b.sc,4.1,64,yes,5.3,average,mixed,medium,easy,70.8
782,20,male,bca,4.79,66.8,yes,4.5,poor,mixed,medium,moderate,56.7
783,20,male,b.sc,0.08,67.3,yes,5.3,poor,group study,high,moderate,19.599
784,22,other,b.sc,2.55,68.4,yes,9.9,good,mixed,high,hard,75.7
785,19,male,b.sc,1.18,55.8,yes,7.2,poor,coaching,medium,moderate,42.1
786,17,other,b.com,1.92,44.6,yes,5.5,average,group study,medium,hard,39.8
787,23,other,b.com,4.98,48.7,no,8.5,good,group study,medium,moderate,64.4
788,22,male,b.tech,7.49,60.7,yes,5.6,average,mixed,medium,moderate,55.3
789,20,female,b.sc,3,79.6,no,7.2,average,mixed,low,moderate,52.9
790,21,female,ba,7.01,92.2,yes,6.1,good,coaching,high,moderate,84.1
791,22,male,b.tech,1.68,97.9,yes,8.4,good,self-study,high,moderate,59.1
792,17,other,b.sc,2.58,95.5,yes,8.7,poor,online videos,high,easy,66
793,17,other,bca,5.86,80.1,yes,9.4,poor,mixed,medium,easy,68.6
794,21,other,b.sc,1.75,75.8,yes,6.9,average,coaching,high,moderate,69.8
795,24,female,b.tech,3.86,62.9,yes,5.8,average,mixed,medium,moderate,48.4
796,20,male,b.tech,7.46,56.4,yes,9.7,average,group study,low,hard,73.3
797,18,female,b.tech,0.49,87,yes,7.1,average,coaching,low,easy,52.9
798,19,other,b.tech,4.77,77.1,yes,5.6,average,mixed,medium,easy,77.8
799,20,male,b.tech,4.43,88.8,yes,4.1,good,online videos,high,moderate,63.8
800,24,female,bba,7.23,56.5,yes,4.5,poor,self-study,low,moderate,64.1
801,23,female,diploma,3.17,73.1,yes,6.6,poor,group study,medium,moderate,57.2
802,18,male,b.tech,0.9,93.9,yes,4.1,poor,group study,low,moderate,23.4
803,18,male,b.sc,2.03,76.3,yes,6.6,average,self-study,low,moderate,47.9
804,18,other,b.tech,1.19,50.7,yes,7.4,average,online videos,low,hard,46.4
805,18,other,diploma,0.24,77.6,yes,9.3,poor,mixed,low,moderate,51.9
806,21,other,b.sc,2.96,76,yes,8.8,average,coaching,high,moderate,89.4
807,23,female,b.com,0.24,69.1,yes,8.3,average,coaching,medium,moderate,47.6
808,18,male,bba,1.39,53.7,yes,9,average,coaching,medium,moderate,66.6
809,21,other,b.sc,4.85,58.4,yes,9.4,good,self-study,high,moderate,53.2
810,21,other,b.sc,0.9,65.1,yes,4.2,good,self-study,medium,moderate,45.3
811,18,female,bba,7.37,65.3,no,9.3,poor,coaching,medium,easy,63.2
812,24,male,ba,7.91,98.7,yes,9.8,good,group study,low,easy,83.1
813,21,female,b.tech,5.2,99.4,yes,5.7,average,coaching,high,moderate,78.2
814,20,other,b.com,5.23,55.1,no,8.6,good,mixed,medium,easy,64.1
815,18,other,bca,4.6,61,yes,5.8,poor,online videos,low,easy,41.4
816,21,male,ba,5.78,80.3,no,5.9,good,mixed,medium,moderate,81.5
817,21,male,diploma,4.56,67.5,yes,7.4,poor,mixed,low,moderate,46
818,20,other,b.tech,3.19,82.3,yes,8.6,poor,coaching,low,moderate,54.5
819,21,other,b.com,3.06,86.3,yes,9.2,average,group study,low,easy,59
820,20,other,ba,7.86,74.5,yes,7.6,average,self-study,medium,hard,74.5
821,22,male,bba,5.84,91.9,yes,5,average,online videos,low,moderate,68.3
822,22,other,b.sc,3.68,74.7,yes,6.4,poor,coaching,high,easy,60
823,21,female,b.com,6.67,74.8,yes,6.7,average,self-study,medium,easy,68.7
824,24,male,b.tech,7.91,73,yes,6.2,average,self-study,low,moderate,88
825,23,female,b.com,0.08,93.4,yes,5.2,poor,online videos,high,easy,43.8
826,24,other,bca,6.9,53.1,yes,6.5,poor,coaching,medium,moderate,79.1
827,20,female,b.com,3.44,58.9,yes,6.7,poor,online videos,high,moderate,33
828,22,male,bca,5.88,84.8,yes,5.3,poor,online videos,low,hard,70.7
829,18,other,b.sc,7.24,94.6,yes,6.5,poor,group study,low,hard,62.9
830,24,male,b.sc,4.85,88.4,yes,8.6,poor,mixed,medium,easy,74.6
831,21,female,bca,6.41,79.2,yes,6.7,good,coaching,low,easy,73
832,18,other,ba,7.79,59.4,yes,8.7,good,coaching,low,moderate,81.9
833,22,female,bca,2.94,64.4,yes,8.4,good,online videos,low,hard,44.5
834,24,other,b.sc,3.55,82.8,yes,6.4,average,online videos,high,moderate,76.7
835,20,other,bca,0.27,99.4,yes,7.9,poor,coaching,high,moderate,54.1
836,18,male,bca,7.07,88.5,yes,8.7,poor,self-study,high,easy,82.4
837,23,female,b.sc,3.3,62.4,yes,9.4,good,self-study,high,moderate,68
838,21,female,b.tech,1.53,65.3,no,6.9,poor,self-study,high,easy,37.5
839,18,male,b.com,1.98,89.4,yes,5.9,average,online videos,high,moderate,42.5
840,22,other,ba,1.62,44.9,yes,9.5,good,mixed,high,moderate,51.7
841,23,male,bba,3.38,52.4,yes,9.6,average,coaching,low,moderate,65.7
842,19,male,b.tech,7.91,84.3,yes,5.3,average,self-study,medium,moderate,94.1
843,19,female,b.sc,4.65,50.3,yes,9.5,poor,mixed,low,moderate,65.5
844,19,male,ba,4.76,76.8,yes,6,good,coaching,high,easy,98.5
845,21,other,bca,3.05,62.1,yes,9.7,average,coaching,medium,moderate,58.4
846,18,male,bba,4,81.9,no,9,good,online videos,low,moderate,62.4
847,23,male,b.tech,1.78,68.2,yes,8.6,average,online videos,high,moderate,51.6
848,20,male,ba,4.39,48.1,yes,8.3,average,online videos,medium,moderate,47.6
849,22,other,bba,2.3,88.2,yes,9.5,good,coaching,low,moderate,59.6
850,17,male,b.com,2.87,64.8,yes,9.8,good,mixed,low,hard,56.3
851,22,other,ba,7.79,80.8,yes,8.7,good,coaching,medium,easy,100
852,17,male,bca,2.39,61.3,yes,8,good,group study,low,easy,60.5
853,22,male,b.sc,3.36,99.4,yes,6.5,average,self-study,low,moderate,61.6
854,21,male,b.com,1.28,50.8,yes,5.9,poor,mixed,low,easy,32
855,18,male,b.com,7.72,58.7,no,9.6,poor,mixed,medium,moderate,82.3
856,20,other,bba,7.8,90.1,yes,6.1,poor,group study,medium,easy,88.1
857,23,female,bca,7.91,91.4,yes,9.1,good,self-study,high,easy,96.8
858,17,male,ba,0.91,99.3,yes,8.7,average,group study,low,hard,46.4
859,23,female,bba,2.27,93.8,yes,6.1,average,group study,medium,moderate,61.2
860,22,female,b.tech,0.97,46.2,yes,8.5,poor,coaching,high,hard,37
861,22,male,b.sc,6.98,79.9,yes,6.1,good,coaching,medium,hard,100
862,21,male,b.com,4.02,55.4,yes,6.7,good,online videos,low,moderate,62.4
863,18,female,bba,5.91,71.8,yes,5.9,average,group study,low,easy,56.2
864,18,other,ba,2.54,41.7,yes,6,average,self-study,medium,hard,22.2
865,17,female,b.sc,3.73,66.5,yes,7.4,poor,group study,low,hard,61.3
866,22,female,b.sc,7.91,99.4,yes,8.9,poor,mixed,high,moderate,100
867,22,female,b.sc,2.16,61,yes,4.3,poor,group study,high,hard,57.8
868,21,male,b.tech,3.26,98,yes,6.2,good,mixed,high,hard,62.5
869,18,other,b.sc,0.66,41.3,yes,9.5,average,online videos,low,moderate,35.7
870,19,female,bca,0.08,94.6,yes,8.4,average,group study,high,hard,46.1
871,18,other,b.tech,4.32,75.3,yes,8.2,good,coaching,medium,moderate,85.5
872,20,male,b.sc,6.37,89.4,yes,9,poor,coaching,low,moderate,85.6
873,20,female,b.tech,0.54,64.4,yes,6.1,good,self-study,high,hard,56.5
874,21,male,diploma,1.18,58.6,yes,5.6,average,group study,high,moderate,30.5
875,19,other,b.tech,5.18,70.7,yes,6.4,good,online videos,high,moderate,79.7
876,21,other,bca,5.36,97.5,yes,8.2,average,online videos,low,easy,88.6
877,23,other,b.com,0.08,84.9,yes,8.9,poor,mixed,low,moderate,37.1
878,20,other,b.sc,5.87,55.5,yes,6.1,good,mixed,low,moderate,58.8
879,23,other,b.com,0.4,94.9,yes,8.2,average,self-study,low,moderate,74.1
880,18,other,bca,1.29,61.7,yes,7.2,poor,group study,high,moderate,40.6
881,19,other,b.com,3.54,68.3,yes,9.2,poor,group study,high,easy,58.1
882,23,other,b.tech,7.21,48.7,yes,8.7,good,group study,low,moderate,71.6
883,21,female,bba,1.34,53.8,yes,9.7,average,coaching,high,moderate,42.2
884,18,female,b.com,1.03,87.1,yes,5.9,poor,coaching,medium,easy,65
885,23,other,b.tech,5.85,50.3,yes,9.6,good,coaching,low,moderate,67.8
886,19,female,b.tech,6.03,61.6,yes,9.5,good,group study,medium,moderate,81.8
887,19,other,b.sc,1.79,99.4,yes,5.3,poor,self-study,low,hard,49.2
888,19,other,bba,5.01,76.8,yes,5.4,good,mixed,medium,moderate,63
889,20,male,bca,3.54,70.7,yes,8.3,average,self-study,low,moderate,39.6
890,20,male,b.com,7.82,46.4,yes,7.6,good,coaching,low,easy,77.1
891,23,female,b.tech,3.4,89.2,no,8.2,good,self-study,high,hard,86.6
892,17,female,ba,3,77.2,yes,9.4,average,self-study,medium,moderate,52.7
893,19,female,b.sc,1.11,52,yes,9,good,group study,high,easy,36.7
894,21,male,diploma,2.48,46.6,yes,7,average,coaching,low,moderate,46.1
895,21,other,b.com,0.41,99.4,yes,4.2,poor,group study,medium,moderate,41.8
896,24,male,b.tech,6.76,56.2,yes,8.7,good,online videos,medium,easy,100
897,18,male,ba,3.79,99.4,yes,5.8,average,mixed,high,easy,76.4
898,22,other,bca,1.27,48.7,yes,7.1,poor,group study,high,moderate,33.2
899,23,male,b.sc,1.64,49.6,yes,7.5,good,online videos,high,moderate,43.2
900,20,other,bca,4.64,71.8,yes,6,good,self-study,low,moderate,61.1
901,24,male,b.sc,5.07,76.3,yes,8.2,poor,group study,low,easy,57.3
902,21,male,ba,3.25,65.6,yes,8.8,poor,group study,low,moderate,49.5
903,23,other,b.tech,7.89,77.9,no,7.1,poor,mixed,high,easy,94.5
904,23,female,bba,0.08,72.8,yes,8.5,average,online videos,high,moderate,49.2
905,23,male,b.com,2.69,44.7,yes,4.3,poor,coaching,medium,moderate,65.8
906,20,other,bba,7.91,80.5,yes,4.2,poor,online videos,low,easy,82.8
907,24,other,b.com,1.22,85.5,yes,5.7,poor,mixed,high,easy,55.1
908,24,female,b.com,7.91,83.1,yes,7.7,poor,coaching,high,easy,91.2
909,23,other,bba,3.49,96.2,yes,7.1,poor,mixed,low,moderate,62.7
910,20,male,b.sc,2.92,82.9,yes,6.2,poor,coaching,medium,moderate,53.9
911,20,other,diploma,0.62,79.8,yes,8.6,good,online videos,low,moderate,48.3
912,17,male,bba,7.72,99.1,yes,6.2,average,self-study,medium,moderate,79.1
913,20,other,b.com,0.71,60,yes,9.5,average,coaching,medium,hard,50.8
914,22,male,b.sc,0.64,48.7,yes,7,poor,self-study,high,moderate,32
915,21,male,b.tech,7.25,97.4,yes,5.6,average,coaching,medium,moderate,97.6
916,22,male,b.tech,7.1,55.3,yes,7.5,poor,coaching,low,easy,68.8
917,23,other,b.com,2.48,46.4,yes,9.5,good,group study,high,hard,61.6
918,18,other,b.tech,1.67,44.9,yes,8.4,good,group study,low,moderate,44.6
919,23,female,diploma,4.46,83.4,yes,8.8,poor,group study,medium,moderate,51.6
920,19,female,bca,5.95,71.8,yes,4.5,good,group study,medium,easy,95.7
921,17,female,bca,2.62,40.7,yes,4.6,average,group study,medium,moderate,47.7
922,19,other,b.tech,5.62,99.4,yes,7.1,average,group study,medium,moderate,91.4
923,24,female,b.com,7.41,40.6,yes,7.2,poor,mixed,medium,moderate,73.8
924,23,other,b.tech,0.3,73,yes,7.7,poor,self-study,low,moderate,35.3
925,21,female,b.com,3.09,60.1,no,5.3,average,online videos,medium,easy,48.8
926,18,female,bca,1.85,46.7,yes,9.7,good,coaching,high,moderate,57.2
927,19,other,diploma,2.1,55.3,yes,8.9,poor,online videos,high,moderate,37.8
928,22,male,diploma,3.88,69.3,yes,4.5,average,group study,low,easy,47.2
929,22,other,bca,1.05,91.1,no,8.8,good,group study,medium,moderate,53.9
930,20,other,b.com,2.91,99.4,yes,5.8,average,coaching,low,easy,75.8
931,19,other,b.sc,4.18,81.9,yes,9.3,poor,online videos,medium,moderate,53.9
932,17,female,b.sc,3.72,43.2,yes,8.8,poor,group study,medium,easy,36.1
933,23,female,bba,5.02,68.1,yes,5.7,average,mixed,medium,easy,79.4
934,22,female,ba,1,61.3,yes,7.8,average,group study,high,moderate,61.5
935,21,other,b.tech,0.1,88.8,yes,8.5,average,coaching,medium,moderate,42.7
936,21,other,b.com,4.38,92,yes,4.3,poor,group study,medium,easy,57.8
937,20,female,diploma,3.59,98.4,no,6.6,good,self-study,high,moderate,73.7
938,22,female,b.tech,6.14,87,yes,8.4,average,mixed,low,hard,72.2
939,24,male,b.tech,7.17,47.5,yes,9.3,poor,coaching,low,moderate,67.2
940,20,male,b.com,7.91,78.1,yes,8.7,good,coaching,high,moderate,100
941,22,other,bca,3.57,97.7,yes,7.6,poor,self-study,low,easy,62.5
942,19,other,b.sc,2.61,79.5,yes,6.2,poor,group study,high,moderate,49.4
943,18,other,ba,7.45,55.3,yes,5.1,average,self-study,low,moderate,68.8
944,19,female,b.sc,5.88,52.9,yes,4.6,average,online videos,high,moderate,52.1
945,17,other,bca,2.2,68.7,yes,5.2,good,online videos,high,easy,70.1
946,21,male,b.com,5.71,80.9,yes,9.5,good,coaching,low,easy,74
947,20,male,ba,7.4,59.9,yes,5.9,poor,coaching,high,easy,60.2
948,18,male,b.sc,0.24,41.3,yes,4.2,poor,mixed,low,hard,19.599
949,23,male,diploma,2.88,96.9,yes,8.8,poor,self-study,low,easy,45
950,20,other,b.tech,3.27,69.5,yes,5.2,average,group study,medium,hard,48.2
951,17,male,b.tech,0.08,48.4,yes,5.4,good,self-study,high,moderate,22.5
952,19,other,b.sc,6.39,88.7,yes,8.6,average,coaching,low,easy,92.3
953,18,female,bba,3.42,93.6,yes,6,average,online videos,medium,moderate,77
954,17,other,ba,5.64,88.9,yes,4.4,average,online videos,high,moderate,74.6
955,18,male,bca,0.64,87.9,yes,5.9,poor,group study,low,moderate,44.6
956,23,male,bca,5.64,98.8,yes,8.8,good,self-study,medium,moderate,83.8
957,18,male,b.com,0.92,98.3,yes,9.3,poor,group study,medium,moderate,46.7
958,18,male,bba,2.34,75.1,yes,6.3,good,mixed,medium,hard,59.9
959,21,male,b.com,1.22,42.8,yes,4.7,good,mixed,medium,moderate,42.5
960,18,female,bba,7.46,57.3,no,9.1,good,coaching,medium,moderate,97.2
961,21,female,b.tech,6.23,85.4,yes,7.3,good,mixed,medium,moderate,88.1
962,22,other,bca,2.87,60.7,yes,8.3,good,coaching,low,moderate,54.6
963,20,other,b.tech,5.56,69.3,yes,7.7,average,mixed,medium,easy,77.4
964,20,male,b.com,5.35,47.7,yes,4.5,poor,mixed,low,easy,56.5
965,17,male,bca,2.14,69.7,yes,7.5,poor,mixed,medium,hard,47.5
966,18,other,b.sc,1.05,72.1,yes,9.6,average,coaching,medium,moderate,49.6
967,21,female,ba,7.91,83.8,yes,9.4,good,mixed,medium,easy,100
968,18,female,bca,5.23,78,yes,9.8,average,group study,medium,hard,73.1
969,17,female,bca,1.06,57.1,yes,7.6,good,group study,medium,moderate,42.5
970,18,other,bca,2.48,88.1,yes,8.4,good,group study,high,easy,55.1
971,22,other,b.sc,0.51,52.1,yes,8.8,poor,mixed,low,moderate,27.9
972,24,other,b.tech,7.62,66.6,yes,9.3,average,mixed,medium,moderate,78.3
973,20,male,bca,1.53,89.5,yes,4.2,good,online videos,medium,moderate,50.2
974,19,male,b.com,4.77,61,yes,9.6,poor,group study,low,easy,52.9
975,22,male,bca,5.26,82,yes,8.5,average,mixed,high,easy,78.6
976,23,female,b.tech,1.92,79.4,yes,5.1,average,mixed,medium,moderate,54.6
977,20,other,bca,7.27,51.8,yes,8,poor,self-study,medium,moderate,69.8
978,19,female,b.com,5.39,59.6,yes,9.6,poor,coaching,high,easy,98
979,21,male,bca,3.98,81.4,yes,8.9,good,coaching,low,easy,82.6
980,24,other,bca,7.12,84.7,yes,5.4,poor,coaching,low,moderate,76.8
981,19,male,diploma,0.63,99.4,yes,4.4,good,self-study,low,hard,57.5
982,18,other,ba,7.91,88.4,yes,4.8,good,group study,low,easy,100
983,22,other,bca,1.75,76,yes,9.9,average,online videos,low,easy,39.9
984,20,male,bba,7.71,50,yes,9.8,good,mixed,high,easy,75.9
985,24,male,bca,4.75,94.6,no,9.9,average,self-study,medium,hard,62.1
986,23,other,ba,5.88,86,yes,7.9,average,mixed,low,easy,83.4
987,22,other,b.com,1.98,68,yes,9.9,good,mixed,high,hard,53.2
988,19,other,b.sc,0.59,66.3,yes,9.7,good,group study,medium,moderate,36.9
989,19,other,diploma,5.14,59.8,yes,9,good,coaching,high,moderate,79.7
990,20,male,bca,1.32,41.7,yes,5.6,poor,group study,high,easy,24
991,18,other,b.tech,3.96,90.5,yes,5.2,good,self-study,high,moderate,79.1
992,17,other,b.com,7.91,54.4,yes,6.1,good,self-study,high,hard,87.2
993,22,other,bca,3.73,78.9,yes,6.6,average,mixed,low,hard,59.5
994,21,male,diploma,4.61,71.5,yes,6.8,poor,coaching,low,moderate,54.2
995,22,female,b.sc,4.79,44.6,yes,6.1,average,coaching,high,moderate,61.7
996,24,male,b.com,6.4,57.9,yes,9.7,good,coaching,medium,moderate,69.7
997,17,male,b.com,0.08,92.3,yes,5.3,good,coaching,high,hard,46.9
998,22,other,ba,6.25,69.4,yes,7.7,average,self-study,low,moderate,68.4
999,23,other,bca,5.01,66.9,yes,9.9,good,mixed,low,moderate,61.2
1000,21,female,bca,6.3,55.4,yes,5.2,average,coaching,medium,moderate,89.7
1001,24,male,b.sc,4.29,52.6,yes,5.4,average,coaching,high,moderate,66.1
1002,17,female,b.com,2.27,93,no,6.6,poor,self-study,high,moderate,64.9
1003,17,male,bba,4.57,63.7,yes,6.4,average,coaching,medium,easy,64.6
1004,23,other,b.com,5.76,77.4,yes,7.3,average,group study,high,easy,86.1
1005,19,other,bca,1.89,78.6,yes,8.3,poor,group study,low,moderate,47.8
1006,21,female,b.com,2.47,76.8,yes,4.6,good,self-study,low,easy,44
1007,20,male,bca,3.15,91.8,yes,5.4,good,mixed,medium,easy,74.8
1008,23,female,b.tech,7.11,75.8,yes,7.7,average,self-study,low,easy,75.5
1009,21,female,b.com,2.7,81,yes,9.6,average,self-study,low,moderate,74
1010,24,other,b.tech,3.66,40.6,yes,7.3,average,self-study,low,moderate,50.3
1011,18,female,b.sc,4.76,77.8,yes,6.9,good,coaching,medium,moderate,93.6
1012,17,male,b.sc,4.9,94,yes,7.6,good,online videos,low,hard,78.6
1013,24,other,b.tech,0.08,99.4,yes,8.7,average,group study,low,moderate,57.1
1014,23,other,diploma,2.62,88.9,yes,9.9,average,group study,medium,moderate,61.5
1015,20,other,diploma,0.4,43,yes,7.2,poor,self-study,low,moderate,38.7
1016,18,male,diploma,5.1,96.2,yes,8.3,poor,mixed,medium,hard,78.1
1017,23,other,b.com,4.02,62.5,yes,8.6,good,self-study,medium,easy,72.2
1018,18,male,bba,0.59,54.4,yes,5.8,poor,coaching,low,moderate,52.1
1019,24,male,b.sc,6.09,63.3,yes,9.8,good,mixed,high,moderate,85.1
1020,19,female,diploma,2.62,43.3,yes,9.4,good,online videos,high,easy,57
1021,19,other,b.sc,4.57,71.9,yes,4.5,poor,coaching,medium,moderate,77
1022,21,male,b.tech,3.13,43.7,yes,9.6,average,self-study,high,hard,62
1023,23,male,diploma,7.89,77,yes,9.2,average,online videos,high,easy,78.5
1024,18,female,diploma,1.06,88,yes,8.2,average,group study,medium,moderate,57
1025,21,other,bca,3.69,77.9,yes,9.7,average,self-study,high,moderate,71.6
1026,24,other,bba,3.2,47.4,yes,6.6,average,self-study,high,moderate,49
1027,24,male,bca,2.1,60.1,yes,7.2,average,coaching,medium,easy,50.3
1028,17,female,b.tech,3.11,62.5,yes,7.4,poor,self-study,medium,moderate,31.4
1029,22,female,b.com,7.79,69.3,yes,9.2,poor,coaching,medium,moderate,69.1
1030,17,other,bca,5.67,72.7,no,9.9,good,group study,medium,hard,90
1031,24,male,b.sc,3.37,49.4,yes,4.8,average,coaching,medium,easy,65.9
1032,21,male,b.sc,5.86,65,yes,5.1,poor,online videos,low,moderate,65.1
